topic,author_id
Rockwell B-1 Lancer,25
United States Naval Special Warfare Development Group,25
Robert O'Neill,25
United States Marine Corps Light Armored Reconnaissance,25
Fighter pilot,25
Regiment,25
24th Special Tactics Squadron,25
Ariana Grande,24
Bagram Airfield,24
Laughter,24
School,24
Bruno Mars,24
Harley-Davidson Motor Company,24
Samsung Galaxy,24
Superman,24
Action figure,24
United States Department of Veterans Affairs,24
31st Marine Expeditionary Unit,24
Tory Lanez,24
M119 howitzer,24
Kevin Gates,24
Fashion,24
United States Marine Corps Women's Reserve,24
Oorah,24
Fast & Furious 7,24
Joint Base Elmendorf–Richardson,24
Call of Duty: Ghosts,24
Sports,24
When I'm Gone,24
Sergeant Major of the Marine Corps,24
Women in combat,24
Bell UH-1 Iroquois,24
Independence Day,24
Soldier Plate Carrier System,24
M2 Browning,24
Marine Special Operations Regiment,24
Matt Bissonnette,24
McDonnell Douglas AV-8B Harrier II,24
Nellis Air Force Base,24
Jarhead,24
French Foreign Legion,24
173rd Airborne Brigade Combat Team,24
A Few Good Men,24
Vehicle,24
American Civil War,24
No One Gets Left Behind,24
Powerlifting,24
World of Warcraft,24
Thomas Rhett,23
Dragon Ball,23
Bullet,23
Bell UH-1Y Venom,23
Door gunner,23
United States Marine Corps Reserve,23
Sam Smith,23
Salute,23
Car chase,23
USS Carl Vinson (CVN-70),23
The Late Late Show with James Corden,23
Far Cry,23
The Voice,23
Carly Rae Jepsen,23
Cyanide & Happiness,23
Big Sean,23
Gordon Ramsay,23
Tyga,23
Hip hop music,23
Nuclear weapon,23
Psy,23
Sit-up,23
AR-15,23
Biceps,23
Arlington National Cemetery,23
Gay,23
Misawa,23
Xbox,23
Keith Urban,23
McDonnell Douglas F-15E Strike Eagle,23
Second Amendment,23
Hostage Rescue Team,23
Airplane,23
Afghan National Army,23
Steve Harvey,23
Ed Sheeran,23
Game of Thrones,23
Korean War,23
Five Nights at Freddy's,23
Metal Gear,22
Seabee,22
Pugil stick,22
Naval Reserve Officers Training Corps,22
Automobile,22
How It Should Have Ended,22
Camp Gonsalves,22
Call Me Maybe,22
Wale,22
Flight,22
Archery,22
American Soldier,22
Florida Georgia Line,22
Shake It Off,22
Traffic collision,22
Westboro Baptist Church,22
Semper Fi,22
Amphibious vehicle,22
Syria,22
"Eagle, Globe, and Anchor",22
Frontline,22
Fort Sill,22
Mario,22
William H. McRaven,22
Bass fishing,22
Nicki Minaj,22
Soundtrack,22
Vladimir Putin,22
