topic,group,author_id
T. J. Miller,00100,1
Chris Broussard,00100,1
San Antonio Spurs,00100,5
The Product G&B,00100,3
Ricky Martin,00100,2
Tristan Thompson,00100,1
The Great Courses,00100,1
Stephen A. Smith,00100,12
Sports science,00100,4
Efficiency,00101,1
Portal 2,00101,1
Kirby,00101,1
Warcraft,00101,17
Freak Kitchen,00101,1
World of Warcraft,00101,24
Leprechaun 4: In Space,00101,1
ScrewAttack,00101,8
Charles Barkley,00102,4
Jerry's Subs & Pizza,00102,1
Inside the NBA,00102,4
John Wall,00102,2
Oral sex,00102,1
Young Forever,00102,1
2015–16 NBA season,00102,4
Yogurtland,00102,1
Track 11,00102,7
Channing Frye,00102,1
Kevin Love,00102,3
Zoey 101,00102,1
Apparently,00102,6
Jack Ü,00110,6
I Am Who Am (Killin’ Time) (featuring Niki Randa),00110,1
Not Now,00110,1
Torstein Horgmo,00110,1
Gangsta's Paradise,00110,2
Hamlet,00110,1
Karmin,00110,1
You Make Me Feel...,00110,1
Jeep Grand Cherokee,00110,5
Face Fisted,00110,1
Kyle,00110,3
Richard Dawkins,00110,10
Remember You,00110,3
Apache Tomcat,00110,1
Borgore,00110,4
Rickrolling,00110,6
Always,00110,5
Harry Fraud,00110,1
Vince Staples,00110,2
I Don't Fuck With You (K Theory remix),00110,1
Faint,00110,3
Puddle of Mudd,00110,2
Quotient rule,00110,1
ILoveMakonnen,00110,3
Tangent,00110,1
Loadstar,00110,1
Revenga,00110,1
0 to 100 / The Catch Up,00110,2
I Don't Fuck with You,00110,6
Reptilia,00110,1
0 To 100 / The Catch Up,00110,2
Elite: Dangerous,00110,4
Graphics Interchange Format,00110,2
Blessed,00110,1
Doris,00110,1
From Time,00110,1
FalconSAT,00110,1
Blunted,00110,2
Mndsgn,00110,1
Try It Out (Neon Mix),00110,1
Tumblr Girls,00110,2
Kai,00110,4
deM atlaS,00110,1
Mechanical energy,00110,1
Flatbush ZOMBiES,00110,1
Extreme sport,00110,2
Bring Em Out,00110,1
Amorphous,00110,1
Implicit function,00110,1
Barry Horowitz,00110,1
Thug Notes,00110,1
Skip Divided,00110,1
Squadron,00110,7
Zayn Malik,00110,8
The Spooks,00110,2
Umshini wami,00110,1
MNEK,00110,4
Plastic Dreams,00110,1
RuneScape,00110,5
Sky Is Over,00110,2
L.V.,00110,1
Rock n' Roll (Will Take You to the Mountain),00110,1
Atmosphere,00110,5
Social equality,00110,1
No Flex Zone,00110,2
"Dance, Dance",00110,3
Thom Yorke,00110,1
Skrillex,00110,18
Bebe Rexha,00110,18
Hey Mama,00110,6
Worst Behavior,00110,1
Rubik's Cube,00110,6
The Underachievers,00110,2
Swimming Pools (Drank),00110,2
Throw Sum Mo,00110,2
God's Bathroom Floor,00110,2
I Can't Stop,00110,2
Cooler than Me,00110,2
Actin Crazy,00110,1
Derivative,00110,1
Josie (Everything's Gonna Be Fine),00110,1
Young Jedi,00110,2
DC Shoes,00110,1
Cooler Than Me,00110,2
Isaiah Rashad,00110,3
Daniel Dumile,00110,2
When You Were Young,00110,3
U.O.E.N.O,00110,1
Niki Randa,00110,1
"Westside, Right On Time",00110,1
Jeep Cherokee,00110,7
George Watsky,00110,5
Fortunate,00110,1
Shabba,00110,3
Rare Chandeliers,00110,1
VFA-115,00110,2
Bodega Bamz,00110,2
B4.Da.$$,00110,1
A.D.H.D,00110,1
48,00110,1
98th Flying Training Squadron,00110,4
Earl Sweatshirt,00110,3
Fight the Feeling,00110,1
All You Can Do,00110,2
Need for Speed: Most Wanted,00110,3
Feel it in the Air,00110,1
Try It Out,00110,1
E.T. the Extra-Terrestrial,00110,2
X Games,00110,2
Opportunity Cost,00110,1
Thrasher,00110,4
Where Are Ü Now,00110,5
Habits (Stay High) (The Chainsmokers Extended Mix),00110,1
Bad Girls,00110,2
Amir Mohamed,00110,1
Headlines,00110,2
Imported Goods,00110,1
Trillmatic,00110,1
Don't Wanna Fall in Love,00110,1
Hell of a Night,00110,3
Madvillain,00110,1
Bet Against Me,00110,1
Burgundy,00110,1
Control,00110,2
Strike fighter,00110,2
Mac Lethal,00110,4
Centurion,00110,1
Chain rule,00110,1
Reggaestep,00110,1
Serj Tankian,00110,2
You & Me,00110,6
Furthest Thing,00110,1
On the Low,00110,1
Not Enough Words,00110,1
M.I.A.,00110,4
Did You Ever Think (album version),00110,1
Man Overboard,00110,1
Come Thru,00110,1
Rome Fortune,00110,1
Fahrenheit 451,00110,1
Omar LinX,00110,3
Rosana,00110,1
Keep it Real,00110,2
Kendrick Lamar,00110,25
Cube,00110,4
Fear Will Find You,00111,1
Jeffrey Dean Morgan,00111,1
In the Heart of the Sea,00111,1
Gods of Egypt,00111,1
Paranormal Activity: The Marked Ones,00111,1
A$AP Mob,00111,6
Last Judgment,00111,3
When the Bough Breaks,00111,1
Andrew Lincoln,00111,2
DC Comics' shared universe films,00111,1
Vinny Paz,00111,1
Joey Badass,00111,7
Battlefield 1943,00111,3
Loomis Fargo,00111,1
Justin Bieber: Never Say Never,00111,1
Get Out My Head,00111,1
Miles Teller,00111,1
Guy Ritchie,00111,2
Paranormal Activity 4,00111,1
Talking Dead,00111,1
ASAP Nast,00111,3
DLZ,00111,2
Dante Exum,00111,1
April O'Neil,00111,1
Batman: The Killing Joke,00111,2
TV on the Radio,00111,3
Post-game show,00111,1
Litany,00111,2
The Last Witch Hunter,00111,1
Joshua,00111,1
The Purge 2,00111,1
Batman: Arkham City,00111,1
XXX: The Return of Xander Cage,00111,1
Review,00111,3
Kirk Knight,00111,1
Too Dry to Cry,00111,1
Schoolboy Q,00111,13
Wheelie bike,00111,1
Jeremy Jahns,00111,4
Activision,00111,1
Galadriel,00111,1
Willis Earl Beal,00111,1
Postpartum depression,002,1
SciShow,002,2
Mona Lisa,002,1
Franco Columbu,002,1
Joe Ehrmann,002,1
Hey Man Nice Shot,002,1
Girl Scouts of the USA,002,1
Nat King Cole,002,4
Country Music Association Awards,002,2
Christy Moore,002,2
Trouble,002,3
Deepak Chopra,002,1
Zach Sobiech,002,2
Gluten-free diet,002,1
Joe Friday,002,4
Gluten,002,1
Sean Hayes,002,1
Royal Engineers,002,2
Tang Soo Do,002,2
Autism,002,1
Life Today with James Robison,002,1
Manspreading,002,2
Glucagon,002,1
Fairytale of New York,002,1
"Hey Man, Nice Shot",002,1
The Mask You Live In,002,1
Andy Andrews,002,1
Love Without End Amen,002,1
Stretch marks,002,2
Tim Curry,002,1
Cotton Eye Joe,002,1
Line dance,002,1
Foster's Home for Imaginary Friends,002,1
Belle,002,5
Clouds,002,2
Abby Sunderland,002,1
